"id","district_id","city"
315,114,Atmakur
316,100,Atmakur
317,97,Atmakur
318,23,Atmakur (M)
319,166,Atmakur (S)
320,42,Atoizu
321,234,Atpadi
322,235,Atrauli
323,53,Atreyapuram
324,120,Atri
325,182,Atru
326,122,Attabira
327,85,Attappadi
328,15,Attili
329,236,Attur
330,237,Aundha (Nagnath)
331,125,Aundhi
332,238,Aurad
333,239,Aurai
334,240,Aurai
335,60,Auraiya
336,241,Aurangabad
337,241,Aurangabad
338,48,Ausa
339,243,Ausgram - I
340,243,Ausgram - II
341,244,Aut
342,245,Avadi
343,246,Avanashi
344,247,Avanigadda
345,82,Avudayarkoil
346,199,Awantipora
347,248,Awantipur Badodiya
348,81,Ayanavaram
349,249,Azamgarh
350,137,Azamnagar
351,250,Azara
352,63,Baba Bakala
353,251,Babai
354,252,Babain ST
355,101,BABALESHWAR
356,223,Baberu
357,153,Babra
358,172,Babubarhi
359,205,Babulgaon
360,253,Bachannapet
361,254,Bachhwara
362,108,Bachupally
363,255,Badachana
364,201,BADAGADA
365,256,Bada Malhera
366,226,Badamba
367,257,Badami
368,258,Badampahar
369,259,Badangi
370,260,Badarpur
371,261,Badarwas
372,202,Baddi
373,262,BADE BACHELI
374,263,Bade Rajpur
375,264,Badgaon
376,265,Badgaon Dhasan
377,266,Badhra
378,267,Badi
379,268,Badkhal
380,269,Badlapur
381,270,Badli
382,271,Badmal
383,272,Badnagar
384,123,Badnapur
385,273,Badnawar
386,217,Badnor
387,38,Badod
388,274,Badoda
389,275,Badoni
390,276,Badshahpur ST
391,138,Baduria
392,233,Badvel
393,277,Badwara
394,244,Bagachnogi
395,278,Bagaha
396,257,Bagalkot
397,279,Baganpara (Pt)
398,153,Bagasara
399,280,Bagbahra
400,138,Bagda
401,281,Bagepalli
402,282,Bageshwar
403,283,Bagha Purana
404,284,Baghbor
405,285,Baghmara
406,286,Baghmara-Cum-Katras
407,287,Baghpat
408,56,Baghty
409,288,Bagicha
410,5,Bagidora
411,289,Baglan
412,290,Bagli
413,208,Bagmundi
414,156,Bagnan - I
415,156,Bagnan - II
416,291,Bagodar
417,50,Bagora
418,2,Bagra Circle
419,292,Bagribari (Pt)
420,244,Bagshad
421,102,Bagwalipokhar
422,45,Bah
423,293,Bahadurganj
424,270,Bahadurgarh
425,214,Bahadurpur
426,92,Bahadurpur
427,134,Bahadurpura
428,258,Bahalda
429,294,Bahal ST
430,295,Baharagora
431,296,Bahari
432,189,Baheri
433,92,Baheri
434,297,Bahin ST
435,277,Bahoriband
436,298,Bahour Taluk
437,299,Bahraich
438,69,Bahu
439,226,Baidyeswar
440,300,Baihar
441,79,Baijnath
442,301,Baikunthpur
443,302,Baikunthpur
444,230,Bailahongala
445,303,BAINDURU
446,261,Bairad
447,304,Baireddipalle
448,305,Bairgania
449,306,Bairia
450,278,Bairia
451,151,Baisa
452,151,Baisi
453,258,Baisinga
454,307,BAJAG
455,308,Bajali (Pt)
456,32,Bajengdoba
457,309,Bajju
458,105,Bajna
459,305,Bajpatti
460,310,Bajpur
461,73,Bakani
462,311,Bakavand
463,254,Bakhri
464,229,Bakhtiarpur
465,312,Bakshi Ka Talab
466,313,Balachaur
467,192,Balagarh
468,300,Balaghat
469,314,Balakote
470,24,Balanagar
471,108,Balanagar
472,315,Balangir
473,74,Balapur
474,7,Balapur
475,316,Balaramgadi Marine
476,208,Balarampur
477,317,Balasinor
478,318,Balayapalle
479,265,Baldeogarh
480,319,Baldirai
481,244,Baldwara
482,320,Balemu Circle
483,4,Balesar
484,316,Baleshwar (M)
485,316,Baleshwar Sadar
486,321,Balganga
487,244,Balh
488,322,Bali
489,254,Balia
490,55,Balianta
491,316,Baliapal
492,286,Baliapur
493,255,Balichandrapur
494,244,Bali Chowki
495,323,Baliguda
496,324,Balijana
497,325,Balijan ADC
498,326,Balijipeta
499,9,Balikuda
500,327,Balimi
501,55,Balipatna
502,203,Balkonda
503,268,Ballabgarh
504,219,Ballah ST
505,328,Ballari
506,329,Ballarpur
507,306,Ballia
508,25,Ballikurava
509,156,Bally Jagachha
510,14,Balmoor
511,200,Balod
512,65,Baloda
513,330,Baloda Bazar
514,331,Balrampur
515,331,Balrampur
516,137,Balrampur
517,17,Balsamand ST
518,55,Balugaon
519,333,Balumath
520,334,Balurghat
521,335,Bamangola
522,336,Bamanwas
523,160,Bamebari
524,337,Bameng ADC
525,65,Bamhnidih
526,126,Bamor
527,207,Bamori
528,316,Bampada
529,337,Bana EAC
530,97,Banaganapalle
531,271,Banaharapali
532,55,Banapur
533,338,BANARHAT
534,185,Banarpal
535,223,Banda
536,339,Banda
537,325,Banderdewa Circle
538,163,Bandgaon
539,340,Bandhogarh
540,341,Bandhugaon
541,97,Bandi Atmakur
542,342,Bandikui
543,58,Bandipora
544,134,Bandlaguda
545,239,Bandra
546,343,Banei
547,344,Banekuchi
548,217,Banera
549,313,BANGA
550,121,Bangana
551,345,Bangapani
552,346,Bangarapet
553,347,BANGARMAU
554,304,Bangarupalem
555,258,Bangiriposi
556,315,Bangomunda
557,348,Bani
558,149,Baniapur
559,349,Banigochha
560,350,Banihal
561,178,Banjar
562,19,Banjaria
563,117,Banka
564,19,Bankatwa
565,120,Banke Bazar
566,251,Bankhedi
567,226,Banki
568,351,Bankura - I
569,351,Bankura - II
570,352,Banma Itahri
571,151,Banmankhi
572,353,Bano
573,39,Bansada
574,354,Bansda
575,306,Bansdih
576,355,Bansgaon
577,356,Bansi
578,334,Bansihari
579,353,Bansjor
580,109,Bansur
581,357,Banswada
582,5,Banswara
583,39,Bant
584,185,Bantala
585,247,Bantumilli
586,358,Bantval
587,359,Bantwaram
588,4,Baori
589,4,Bap
590,25,Bapatla
591,4,Bapini
592,360,Bapoli
593,247,Bapulapadu
594,98,Bara
595,361,Barabani
596,208,Barabazar
597,120,Barachatti
598,22,Baradwar
599,343,Baragaon
600,117,Barahat
601,362,Barahiya
602,267,Baraily
603,363,Barakot
604,279,Barama Pt
605,132,Baramati
606,364,Baramkela
607,365,Baramulla
608,182,Baran
609,226,Barang
610,122,Barapali
611,127,Barara
612,137,Barari
613,138,Barasat - I
614,138,Barasat - II
615,302,Barauli
616,254,Barauni
617,287,Baraut
618,344,Barbhag
619,198,Barbigha
620,160,Barbil
621,366,Barbugh
622,367,Bardez
623,368,Bardiha
624,16,Bardoli
625,189,Bareilly
626,122,Bargarh
627,368,BARGARH
628,122,Bargarh Sadar
629,369,Barghat
630,169,Bargur
631,229,Barh
632,370,Barhait
633,371,Barhaj
634,372,Barhampur
635,151,Barhara
636,43,Barhara
637,170,Barharia
638,370,Barharwa
639,373,Barhat
640,277,Barhi
641,374,Barhi
642,375,Bari
643,160,Baria
644,212,Bariarpur
645,376,Bari Brahamana
646,258,Baripada (M)
647,258,Baripada Sadar
648,258,Baripada Town
